Job_Title_Sim,Jobs_Name,Skill,Job_Count
"Data Analyst","Data Analyst Senior",Excel,1
"Data Scientist","Data Science Engineer - Mobile",Excel,1
"Data Analyst","Senior Operations Data Analyst, Call Center Operations",Excel,1
"Data Engineer","Senior Data Engineer",Excel,2
"Other Scientist","RESEARCH COMPUTER SCIENTIST - RESEARCH ENGINEER - SR. COMPUTER SCIENTIST - SOFTWARE DEVELOPMENT",Excel,1
"Data Engineer","Principal Data Engineer, Data Platform & Insights",Excel,1
"Other Scientist","Senior Scientist - Toxicologist - Product Integrity (Stewardship)",Excel,1
"Data Analyst","Clinical Data Analyst",Excel,1
"Data Analyst","Systems Engineer II - Data Analyst",Excel,1
"Data Analyst","Business Data Analyst",Excel,1
"Data Scientist","Data Scientist - Sales",Excel,1
"Data Scientist","Director Data Science",Excel,1
"Data Analyst","Sr Data Analyst - IT",Excel,1
"Not Specified","Data Operations Lead",Excel,1
"Data Scientist","Data Science Project Manager",Excel,1
"Other Scientist","Senior Scientist - Biostatistician",Excel,1
"Data Scientist","Data Science Manager",Excel,2
"Data Analyst","Supply Chain Data Analyst",Excel,1
"Data Engineer","Data Engineer - ETL",Excel,1
"Data Modeler","Data Modeler (Analytical Systems)",Excel,1
"Data Modeler","Data Architect / Data Modeler",Excel,1
"Data Analyst","Data Analyst, Performance Partnership",Excel,1
"Other Scientist","Scientist â€“ Cancer Discovery, Molecular Assay",Excel,1
"Other Scientist","Associate Scientist / Sr. Associate Scientist, Antibody Discovery",Excel,1
"ML Engineer","Machine Learning Engineer (NLP)",Excel,1
"Data Engineer","Data Engineering Analyst",Excel,1
"Data Scientist","Software Engineer (Data Scientist/Software Engineer) - SISW - MG",Excel,1
"Other Scientist","Associate Research Scientist I (Protein Expression and Production)",Excel,1
"Other Scientist","Senior Formulations Scientist II",Excel,1
"Data Analyst","Senior Quantitative Analyst",Excel,1
"Data Scientist","Data Scientist Manager",Excel,1
"Data Scientist","Principal Data Scientist",Excel,2
"Data Engineer","Associate Data Engineer",Excel,1
"Data Analyst","Sr. Data Analyst",Excel,2
"Data Scientist","Data Analytics Project Manager",Excel,1
"Other Scientist","Research Scientist or Senior Research Scientist - Computer Vision",Excel,1
"Data Analyst","Consultant - Analytics Consulting",Excel,1
"Data Analyst","Data Analyst Chemist - Quality System Contractor",Excel,1
"Data Scientist","Senior Data Scientist Oncology",Excel,1
